Spanish,Polish
entrar,wchodzić
cree,Uważać
podía,mógłby
debemos,musi
oportunidad,szansa
teléfono,telefon
necesitamos,potrzebować
final,finał
listo,sprytny
fiesta,przyjęcie
muchos,Wiele
estabas,Ty byłeś
quieren,Chcą
vete,Idź stąd
auto,automatyczny
dar,dawać
vivir,żyć
posible,możliwy
ok,w porządku
hermana,siostra
número,numer
meses,miesiące
exactamente,dokładnie
culpa,wada
abajo,na dół
escuela,szkoła
ido,odszedł
fuerte,silny
diciendo,powiedzenie
habla,przemówienie
esté,Wschód
ello,to
pregunta,Pytanie
chicas,dziewczyny
eran,byli
unas,gwóźdź
pasando,pójście
atrás,za
malo,zły
capitán,kapitan
sra.,Pani
bebé,Dziecko
segundo,druga
sabemos,wiemy
mayor,Starsi
comida,jedzenie
morir,Umrzeć
conozco,wiedzieć
dame,daj mi
fácil,łatwo
comer,jeść
vino,przyszło
lista,gotowy
haga,robić
necesitas,potrzebujesz
hijos,synowie
probablemente,prawdopodobnie
padres,Ojcowie
habitación,Pokój
creer,uważać
pensando,myślący
fueron,byli
dime,powiedz mi
trata,o
buscando,badawczy
tuve,miałem
tampoco,zarówno
amo,kocham
joven,młody człowiek
podrías,mógłbyś
sola,sam
par,para
única,tylko
hacen,robić
seguir,kontynuować
dr.,Dr.
simplemente,po prostu
dicen,Mówią
medio,średni
puta,suka
saben,Oni wiedzą
sentido,sens
hagas,ty robisz
segura,bezpieczny
esperar,oczekiwać
lejos,daleko
arma,broń
alto,wysoki
pequeña,mały
dólares,Dolary
seis,sześć
estaban,Byli
seguridad,bezpieczeństwo
maldita,cholerny
estuvo,on był
preocupes,martwić się
palabra,słowo
esperando,mieć nadzieję na
queda,pozostaje
oficina,gabinet
matar,zabić
iré,pójdę
cama,łóżko
además,co więcej
último,najnowszy
oído,ucho
habría,byłoby
estará,będzie
dio,dało
recuerdo,pamięć
siendo,istnienie
acerca,o
tenga,mieć
luz,światło
correcto,Prawidłowy
ud.,Ty.
demonios,Demony
nuestras,nasz
verte,by zobaczyć Ciebie
dormir,spać
sitio,miejsce
ayudar,Wsparcie
conseguir,Dostawać
di,dał
marido,mąż
paz,pokój
idiota,kretyn
plan,plan
dado,dany
cuanto,ile
peor,gorzej
murió,Umarł
pueblo,wieś
vivo,relacja na żywo
venido,przychodzę
john,Jan
basta,Wystarczająco
paso,krok
deberíamos,powinniśmy
música,muzyka
diga,Mówić
minuto,minuta
anoche,Ostatnia noc
llamar,zadzwonić
piensa,myśleć
país,kraj
digas,mówisz
rey,król
perdón,przepraszam
mucha,dużo
falta,brak
pienso,Myślę
diablos,Diabły
perdido,Stracony
niña,mała dziewczynka
señorita,Tęsknić
diez,dziesięć
lleva,przewozi
hospital,szpital
grandes,wielki
maldito,cholernie
otras,inni
llamado,nazywa
hacemos,robimy
llevar,nosić 
fuego,ogień
aqui,tutaj
tuvo,On miał
poner,położyć
calle,ulica
acaba,tylko
prueba,Test
increíble,niesamowite
real,prawdziwy
libro,książka
orden,zamówienie
semanas,tygodnie
especial,specjalny
mía,moje
café,Kawa
duro,Trwał
empezar,początek
afuera,poza
queremos,chcemy
perro,pies
cielo,kochanie
jack,Jacek
puesto,Stragan
viaje,wycieczka
detrás,za
cuarto,czwarty
querida,Drogi
haría,zrobiłby
preguntas,pytania
piensas,Myślisz
querido,Drogi
libre,darmowy
buscar,Szukaj
cual,który
diré,powiem
suena,Dźwięki
jugar,bawić się
cambio,zmiana
película,film
millones,miliony
habrá,tam będzie
llamada,połączenie
resto,reszta
vemos,widzimy
extraño,dziwny
mala,zły
presidente,Prezydent
srta.,SM.
irme,Iść
ropa,odzież
perder,stracić
vuelve,Wróć
agente,agent
palabras,słowa
información,Informacja
raro,rzadki
hará,zrobi
entiendes,Rozumiesz
éste,Wschód
trabajando,pracujący
tratando,próbować
general,ogólny
trato,sprawa
usar,posługiwać się
perfecto,idealny
derecho,prawo
modo,tryb
ayer,Wczoraj
conoces,wiesz
demás,reszta
quieras,Chcesz
podríamos,moglibyśmy
noticias,Aktualności
asesino,morderca
encontrado,znaleziony
control,kontrola
odio,nienawiść
frente,przód
sexo,seks
decirle,Powiedz mu
estaré,będę
divertido,zabawny
armas,bronie
recuerdas,Zapamiętaj
amiga,przyjaciel
grupo,grupa
asunto,romans
acabo,skończone
mensaje,wiadomość
encima,koniec
atención,Uwaga
diferente,różne
uh,Uh
cállate,zamknąć
daño,szkoda
sucede,dzieje się
cambiar,zmiana
siguiente,Następny
sino,Inaczej
the,.
seas,Jesteś
médico,medyczny
boca,usta
dejó,wynajmować
error,błąd
jamás,Nigdy
largo,długość
pena,żałość
voz,głos
futuro,przyszły
siente,Czuć
secreto,sekret
baño,kąpiel
mil,tysiąc
decirte,Powiedz ci
sam,Sam
pensaba,myśl
novia,dziewczyna
propia,własny
sueño,spać
haz,robić
fuerza,siła
deben,Oni muszą
supone,Przypuszczuje
estábamos,Byliśmy
ambos,oboje
ay,Oh
estuve,był
encontré,znalazłem
vuelto,obrócony
dolor,ból
dile,Powiedz mu
encanta,kocha
edad,wiek
darle,daj mu
pie,stopa
negro,czarny
ganar,osiągać
york,York
aire,powietrze
lamento,lament
verlo,zobaczyć go
asesinato,morderstwo
vio,on widział
adónde,gdzie
llegado,przybył
disculpe,wybaczcie mi
s,s
cita,data
estaría,Byłoby
fuiste,ty byłeś
sistema,system
gusto,smak
pobre,słaby
negocio,biznes
mente,umysł
tuyo,Twój
campo,wieś
mire,Patrzeć
situación,sytuacja
tras,po
hotel,hotel
vosotros,ty
funciona,Pracuje
foto,Zdjęcie
abogado,adwokat
loca,zwariowany
propio,własne ja
alrededor,na około
próxima,następny
terminado,skończone
hablas,mówić
pagar,płacić
mató,zabity
llamo,nazywa
personal,personel
sientes,czujesz
ocurre,występuje
ésta,jest
recuerda,Zapamiętaj
mitad,połowa
quiera,chcieć
pelo,włosy
tenías,Miałeś
viste,sukienki
oficial,urzędnik
llegó,przybywam
compañía,firma
relación,relacja
conoce,znany
pase,dzieje się
montón,działka
mejores,Top
creí,wierzyłem
cena,Obiad
sentir,czuć
través,poprzez
accidente,wypadek
i,Siema
ellas,one
caja,Kasa
tranquilo,spokojna
bonito,ładny
eras,wieczność
asi,Więc
pudo,mógłby
vive,to żyje
vista,pogląd
estúpido,idiota
línea,linia
caballeros,Panowie
haremos,będzie
dan,dawać
quédate,zostawać
tienda,sklep
comprar,kupić
entendido,jest to zrozumiałe
centro,środek
salvo,oprócz
mes,miesiąc
joe,Joe
sol,słońce
tonto,głupiec
hambre,głód
michael,Michał
mesa,stół
respuesta,odpowiedź
completamente,całkowicie
david,David
carta,list
totalmente,całkowicie
imposible,niemożliwy
pruebas,Testy
novio,chłopak
normal,normalna
gustan,tak jak
frank,Szczery
pude,mógłbym
charlie,Charlie
traje,kostium
dirección,adres zamieszkania
siete,siedem
dijeron,Oni powiedzieli
placer,przyjemność
sean,Sean
tendrá,będzie miał
barco,łódź
blanco,biały
tom,Tomek
profesor,profesor
servicio,usługa
muchacho,młody gość
reunión,spotkanie
dejado,lewy
ley,prawo
quisiera,chciałbym
hubo,tam było
george,Jerzy
programa,Program
carrera,Wyścig
cumpleaños,urodziny
muchachos,chłopcy
culo,tyłek
canción,utwór muzyczny
hermosa,Piękny
universidad,Szkoła Wyższa
boda,ślub
decirme,Powiedz mi
cualquiera,każdy
tengas,Posiadać
hacía,w stronę
estés,być
sala,salon
llevo,nosić 
decisión,decyzja
espere,Czekać
don,Przywdziewać
necesario,niezbędny
sal,Sól
entra,wchodzi
prisa,wysypka
carajo,pierdolić
embargo,embargo
interesante,ciekawe
tendrás,będziesz miał
escuchar,słuchać
abuela,babcia
hicieron,zrobili
detective,detektyw
horrible,okropny
suelo,ja zwykle
fotos,Zdjęcia
cárcel,więzienie
acá,tutaj
io,Io
mike,Mikrofon
siéntate,Usiądź
decía,Powiedział
intentando,próbować
vámonos,Chodźmy
maldición,cholerny
silencio,cisza
muerta,nie żyje
capaz,zdolny
salió,wyszedł
club,Klub
terminar,skończyć
temo,Boję się
broma,żart
gobierno,rząd
prometo,obiecuję
cámara,aparat fotograficzny
media,połowa
terrible,straszny
llamó,Dzwonię
regalo,prezent
amable,delikatny
dulce,Słodkie
muertos,nie żyje
querías,Chciałeś
ataque,atak
das,dajesz
navidad,Boże Narodzenie
negocios,biznes
pudiera,mógłby
ocho,osiem
avión,samolot
investigación,Badania
acabó,tylko
juro,przysięgam
mantener,utrzymać
ejército,armia
papel,papier
partes,Imprezy
ten,Dziesięć
gracioso,zabawny
diría,powiedziałbym
principio,początek
delante,z przodu
teniente,porucznik
deseo,pragnienie
vayas,iść
nave,statek
sale,wychodzi na jaw
basura,śmieci
vine,przyszło
contacto,Kontakt
esposo,mąż
tren,pociąg
encontramos,znaleźliśmy
dale,Zacząć robić
verdadero,prawdziwy
tuya,Twój
alma,dusza
hazlo,Zrób to
disculpa,Przepraszam
junto,razem
anda,spcerować
tendré,będę miał
matrimonio,małżeństwo
saberlo,wiedzieć
locura,szaleństwo
oro,Modliłem się
permiso,pozwolenie
director,dyrektor
peligro,zagrożenie
libertad,wolność
alegro,zadowolony
baja,niski
tendremos,będziemy mieli
derecha,prawo
encuentra,odnaleźć
pies,stopy
segunda,druga
maravilloso,wspaniale
espacio,przestrzeń
rato,chwileczka
abuelo,Dziadek
esperaba,oczekiwałem
mirando,patrzeć na
salud,Zdrowie
sorpresa,niespodzianka
ninguno,Żaden
miren,Patrzeć
triste,smutny
aun,nadal
pensado,wymyślony
maestro,nauczyciel
según,według
infierno,piekło
podrían,mógłby
tipos,typy
tía,ciotka
crimen,przestępczość
conocido,znany
consejo,Wskazówka
ante,ze względu na
iglesia,kościół
intento,próbować
mayoría,bardzo
doy,dawać
peter,Piotr
hicimos,zrobiliśmy
escena,scena
piso,mieszkanie
señal,podpisać
honor,zaszczyt
llamas,połączenia
abre,otwiera się
cerebro,mózg
veras,zobaczysz
viendo,widzenie
pone,miejsca
pregunto,pytam
cocina,kuchnia
vestido,sukienka
inteligente,inteligentny
vieja,staruszka
caballo,koń
vienen,przyszli
vidas,zyje
bar,bar
corte,Sąd
sucedió,stało się
adentro,wewnątrz
drogas,Leki
enseguida,od razu
busca,Szukaj
agradable,ładny
carne,mięso
parecía,wyglądał jak
departamento,dział
lindo,ładny
mar,morze
duda,wątpić
edificio,budynek
conocer,wiedzieć
cargo,pozycja
víctima,ofiara
luna,Księżyc
energía,Energia
frío,przeziębienie
hablo,rozmawiałem
baile,taniec
trabaja,Pracuje
misión,misja
listos,Gotowy
ayudarte,pomóc Ci
izquierda,lewy
paul,Paweł
beber,pić
deje,Odejdź
finalmente,Wreszcie
simple,prosty
daré,ja dam
sabías,Wiedziałaś
puedas,Możesz
puso,położyć
creía,wierzyłem
regresar,wracać
llega,przybywa
entender,rozumieć
mirar,patrzeć na
sacar,Brać
cambiado,zmienione
trae,Przynieść
hermoso,przystojny
opinión,opinia
verás,zobaczysz
linda,ładny
apenas,ledwie
segundos,sekundy
cerveza,piwo
harás,zrobisz
estuviera,byłem
creen,Uważają
oír,słyszeć
tendría,miałby
cuántos,wiele
hablado,Mówiony
hablamos,Mówimy
reina,królowa
temprano,wczesny
tema,motyw
prisión,więzienie
porqué,dlatego
vuelva,Zwrócić
público,publiczny
ocurrió,Tak się stało
veré,zobaczę
salvar,ratować
partido,mecz
bonita,ładny
joder,pierdolić
causa,przyczyna
caliente,gorący
sargento,sierżant
cenar,tania restauracja
compañero,współpracownik
llevó,nosić 
banco,Bank
existe,istnieje
ben,Ben
zona,strefa
destino,przeznaczenie
base,baza
solía,przyzwyczajony
cliente,klient
irse,Odejdź
perra,suka
james,James
encuentro,spotkanie
encontró,znalazł
pelea,Walka
san,święty
norte,północ
quise,Chciałem
coronel,pułkownik
apuesto,przystojny
peligroso,niebezpieczny
viva,relacja na żywo
max,Max
vienes,Przyjeżdżacie
necesitan,Oni potrzebują
té,herbata
excepto,oprócz
juicio,osąd
podamos,możemy
llave,klucz
equivocado,zło
posición,pozycja
trasero,tył
irnos,Iść
espalda,plecy
excelente,Doskonały
éxito,powodzenie
modos,Tryby
ventana,okno
veamos,Zobaczmy
especie,gatunek
teníamos,mieliśmy
diferencia,różnica
formas,kształty
pedir,zapytać się
últimos,ostatni
escúchame,Posłuchaj mnie
ejemplo,przykład
ése,że
radio,radio
lee,czytać
calma,Uspokoić się
hogar,Dom
volveré,wrócę
fondo,tło
humano,człowiek
henry,Henz
tí,ty
iremos,pójdziemy
unidos,Zjednoczony
habían,Byli
jesús,Jezus
planeta,planeta
verme,Zobacz mnie
respecto,szacunek
regreso,Zwrócić
debido,należny
seré,będę
tenían,Oni mieli
leer,czytać
parar,Zatrzymaj się
lleno,pełny
dejé,Odejdź
respeto,Poszanowanie
debajo,pod 
harry,Złupić
escribir,pisać
estación,stacja
pidió,spytał
alta,wysoki
pista,Wskazówka
estrella,gwiazda
enfermo,chory
duele,boli
sueños,sny
veremos,zobaczymy
miles,Tysiące
darme,daj mi
órdenes,Zamówienia
ocupado,zajęty
sigues,Czy wciąż jesteś
corre,Biegi
podido,Mam
dejes,Wyjechać
nivel,poziom
habéis,Ty masz
experiencia,doświadczenie
darte,dać Ci
salida,Wyjście
decirlo,Powiedz to
confiar,zaufanie
hacerte,Zrobić cię
necesitaba,potrzebne
hermanos,bracia
zapatos,buty
color,kolor
vistazo,zerknąć
nena,pisklę
tratar,leczyć
parecer,wyglądać
juez,sędzia
próximo,następny
paciente,pacjent
hayas,być
bolsa,torba
arte,sztuka
mary,Mary
jugando,Gra
llevas,Nosisz
alegra,Alegra
bailar,taniec
diablo,Diabeł
oí,słyszałem
sepa,Wiedzieć
estarás,Będziesz
sur,południe
banda,pasmo
aprender,uczyć się
precio,Cena £
completo,kompletny
santo,święty
culpable,winny
ganas,pragnienie
tuvimos,Mieliśmy
you,Ty
verla,Zobacz to
volvió,zawrócił
libros,książki
ojo,oko
serán,będzie
cielos,Niebiosa
matado,zabity
azul,niebieski
diferentes,różne
irte,iść
ia,IA
comandante,dowódca
acción,akcja
reglas,zasady
obra,budowa
esperanza,nadzieja
cuestión,pytanie
molesta,smutny
teniendo,mający
bill,Rachunek
informe,raport
jimmy,Jimmy
río,rzeka
bienvenido,Powitanie
abrir,otwarty
tocar,bawić się
bob,Pion
contar,liczyć
sigo,podążam
interior,w środku
apartamento,apartament
vea,Widzieć
estados,państwo
estáis,Jesteś
preocupa,zmartwienia
tomó,biorę
principal,poważny
empieza,zaczynać
londres,Londyn
empezó,zaczęło się
vayan,iść
jim,Jim
llaman,Oni dzwonią
ojalá,Chciałbym
perdona,przepraszam
vuelvo,wrócę
golpe,cios
quedarme,zostawać
llamaré,zadzwonię
acabado,koniec
estilo,styl
nueve,dziewięć
definitivamente,Zdecydowanie
quedar,zostawać
cartas,karty
bomba,bomba
guardia,strażnik
pistola,pistolet
probar,próbować
majestad,majestat
traer,przynieść
marcha,Marsz
pareces,Wydajesz się
común,wspólny
aquel,że
hacerle,robić
vuelo,lot
nota,Notatka
danny,Danny
humanos,Ludzie
estaremos,będziemy
valor,wartość
suyo,Twój
objetivo,cel
repente,Nagle
debía,powinien
rojo,czerwony
bromeando,żartowanie
irá,zamierzać
entrada,wejście
doble,podwójnie
dejaré,opuszczę
evitar,unikać
máquina,maszyna
cuello,szyja
conocí,spotkałam się
tiempos,czas
tome,Brać
nick,Nacięcie
animales,Zwierząt
alex,Alex
acaso,być może
tuviera,miał
pareja,partner
verano,lato
escuché,słuchać
ama,Miłość
serás,będziesz
mentira,kłamstwo
tarjeta,karta
hagan,robić
perdí,Spóźniłam się
correr,biegać
steve,Steve
traído,przyniósł
llegue,przybyłem
preparado,przygotowany
haberlo,mieć
tony,Tony
usa,użycie
intentar,próba
ayudarme,Pomóż mi
flores,kwiaty
dando,dający
vos,ty
opción,opcja
isla,wyspa
cierra,Blisko
piel,skóra
enemigo,wróg
dejo,lewy
exacto,dokładny
imbécil,głupiec
jóvenes,młodzież
pedido,zamówienie
larga,długie
entiende,rozumie
justicia,Sprawiedliwość
nuevos,Nowy
obviamente,oczywiście
despierta,Obudź się
pido,pytam
calor,ciepło
luces,światła
refiero,To znaczy
fuimos,wszedł 
batalla,bitwa
déjalo,Zostaw to w spokoju
intenta,Próbować
sarah,Sarah
fantástico,fantastyczny
brazo,ramię
absolutamente,absolutnie
llena,pełny
hacerme,zmuś mnie
salga,na zewnątrz
recordar,zapamiętać
escapar,uciec
bosque,las
gay,Gay
señores,Sirs
quedan,Pozostają one
piernas,nogi
visita,wizyta
parís,Paryż
usando,ma na sobie
ganado,żywy inwentarz
movimiento,ruch
blanca,biały
rico,bogaty
inocente,niewinny
pesar,ważyć
absoluto,absolutny
vacaciones,wakacje
um,um
mismos,to samo
tomado,zajęty
habías,Ty byłeś
planes,Plany
cine,kino
toca,Dotknięci
brillante,lśniące
confianza,zaufanie
vuestra,twój
nombres,Nazwy
especialmente,szczególnie
fbi,FBI
embarazada,w ciąży
esperen,Czekać
pantalones,Spodnie
defensa,obrona
terminó,termin
salido,wyszedł
estupendo,Świetnie
jane,Jane
presión,Nacisk
inmediatamente,od razu
testigo,świadek
deberían,Oni powinni
olvidado,zapomniany
soldados,żołnierski
resulta,wynik
tommy,Tommy
depende,zależy
motivo,powód
inglés,język angielski
suya,jej
estudio,nauka
acabar,koniec
sentimientos,uczucia
tomando,nabierający
dieron,Dali
parecen,wyglądają na
llaves,Klucze
perros,psy
propósito,zamiar
noticia,Aktualności
partir,Odejdź
vuestro,twój
metros,metry
santa,Święty
quedarse,zostać
clientes,klienci
podrá,Móc
cuántas,ile
ridículo,śmieszny
damas,damski
estuviste,Ty byłeś
tranquila,cichy
operación,operacja
come,jeść
empresa,biznes
ayúdame,Pomóż mi
laboratorio,laboratorium
elección,wybór
menudo,często
beso,pocałunek
copa,Filiżanka
conversación,rozmowa
brazos,ramiona
espíritu,duch
dejas,pozwalasz
cansado,zmęczony
interesa,zainteresowania
refieres,Masz na myśli
casado,żonaty
enorme,ogromny
asuntos,spraw
fe,wiara
muestra,próbka
trampa,pułapka
ray,Promień
billy,Menażka
memoria,pamięć
johnny,Jasio
contrario,przeciwnie
soldado,żołnierz
subir,wchodzić
turno,skręcać
encantaría,Zachwyciłbym
preocupado,zainteresowany
restaurante,restauracja
saliendo,wychodzić
escrito,pisemny
cálmate,Spokojnie
bienvenida,Witam
caer,spadek
llevaré,Będę nosić
leche,mleko
estrellas,gwiazdy
prefiero,wolę
red,internet
viejos,stary
solamente,tylko
oiga,Słuchać
estén,są
cuentas,Konta
taxi,taksówka
anillo,dzwonić
richard,Richard
preguntar,zapytać
victoria,zwycięstwo
quiénes,Kto to jest
héroe,bohater
pequeños,maluchy
decidido,zdecydowany
películas,filmy
responsable,odpowiedzialny
trago,drink
volverá,Wrócić do
árbol,drzewo
ibas,Ty byłeś
dientes,zęby
encantado,zachwycony
camión,ciężarówka
vender,Sprzedać
llame,dzwoniłem
detente,Zatrzymaj się
luchar,walka
cabo,peleryna
ruido,hałas
lucha,walka
muere,Idź martwy
reloj,zegar
gato,kot
averiguar,rozwiązać
volar,latać
vayamos,Chodźmy
tanta,Tak wiele
vendrá,przyjdzie
corriendo,w pośpiechu
yendo,pójście
colegio,Szkoła Wyższa
sonido,dźwięk
caballero,Rycerz
pasada,podawać
código,kod
hagamos,Zróbmy
imagen,obraz
riesgo,ryzyko
llegamos,dotarliśmy
alguno,niektóre
pan,chleb
millón,milion
malas,zły
dama,dama
hielo,lód
coño,stożek
cayó,to spada
prensa,naciśnij
querer,chcieć
vengan,chodź
eddie,Eddie
caminar,iść
televisión,telewizja
pasará,to się stanie
momentos,Chwile
coger,Brać
posibilidad,możliwość
hubiese,byłoby
mark,Ocena
asiento,siedzenie
tuviste,Widziałeś
herido,ranny
maría,Maria
seguramente,pewno
proyecto,Projekt
pared,Ściana
sentí,poczułem
sospechoso,podejrzany
naturaleza,Natura
ésa,ten
silla,krzesło
perdió,Stracony
robert,Robert
policías,Policja
arreglar,zorganizować
sentado,siedzący
papi,Tatuś
ideas,Pomysły
obtener,Dostawać
felices,Szczęśliwy
señoría,panowanie
cantidad,ilość
bebe,Dziecko
mírame,Spójrz na mnie
chris,Chris
papa,tata
llorar,opłakiwać
quedó,To było
familiar,rodzina
desastre,katastrofa
locos,zwariowany
escuche,słuchałem
quedarte,zostawać
política,Polityka
pedí,Zapytałam
sois,ty jesteś
nosotras,my
will,Będzie
enfermedad,choroba
encontraron,Znaleźli
colega,kolega z pracy
príncipe,księciem
verde,Zielony
bajar,spadać
nervioso,Wysoce uderzone
vengo,przychodzę
inspector,inspektor
sirve,służy
puertas,drzwi
fuerzas,siły
playa,plaża
cantar,śpiewać
déjeme,Zostaw mnie
velocidad,prędkość
total,całkowity
cabello,włosy
suficientemente,wystarczająco 
huellas,Ślady
haberte,czy ty
debí,Debí
unidad,Jednostka
estan,są
cuchillo,nóż
t,t
oigan,Hej
quienes,kto
gana,Wygrać
tonterías,bzdury
emergencia,nagły wypadek
perfecta,Idealny
hable,Rozmawiałem
gustaba,lubił
