Unnamed: 0,Spanish,Polish
325,semana,tydzień
326,hacia,w stronę
327,quizás,być może
328,espero,czekać
329,juntos,razem
330,año,rok
331,niños,Dzieci
332,pronto,wczesny
333,tío,wujek
334,suerte,szczęście
335,ciudad,Miasto
336,siquiera,nawet
337,feliz,szczęśliwy
338,venir,przyjść
339,hija,córka
340,gustaría,chciałby
341,minutos,minuty
342,cuánto,ile
343,os,ty
344,hey,Hej
345,muerte,śmierć
346,dejar,wynajmować
347,realidad,rzeczywistość
348,deja,wynajmować
349,problemas,problemy
350,vi,widział
351,da,daje
352,importante,ważny
353,dijiste,powiedział
354,corazón,serce
355,miedo,strach
356,jefe,szef
357,agua,Woda
358,haré,zrobię
359,justo,tylko
360,horas,godziny
361,poder,Móc
362,buenos,dobre
363,esposa,żona
364,manos,ręce
365,debes,powinieneś
366,viene,pochodzi
367,venga,Pospiesz się
368,nuestros,nasz
369,ojos,oczy
370,adelante,dalej
371,encontrar,odnaleźć
372,mano,ręka
373,cinco,pięć
374,niño,mały chłopiec
375,ninguna,Żaden
376,otros,inni
377,cara,kosztowny
378,cuidado,Uważaj
379,bajo,gitara basowa
380,cerca,blisko
381,viejo,stary
382,déjame,pozwól mi
383,noches,Noce
384,bastante,Całkiem
385,fin,koniec
386,tomar,drink
387,único,unikalny
388,misma,to samo
389,escucha,słuchać
390,ningún,Żaden
391,suficiente,wystarczająco 
392,punto,punkt
393,cuándo,gdy
394,sigue,śledzić
395,haya,jest
396,equipo,ekwipunek
397,grande,Świetnie
398,necesita,musi
399,llegar,Dostawać
400,incluso,nawet
401,algunos,Niektóre
402,doctor,lekarz
403,difícil,ciężko
404,aunque,chociaż
405,hubiera,miał
406,primer,pierwszy
407,coche,samochód
408,hago,robię
409,clase,klasa
410,cuatro,cztery
411,mas,plus
412,dices,Mówisz
413,pequeño,mały
414,llama,połączenie
415,toma,nabierający
416,hiciste,zrobił
417,allá,tam
418,última,ostatni
419,arriba,w górę
420,tierra,Ziemia
421,guerra,wojna
422,pensar,myśleć
423,pueda,mogę
424,igual,Podobnie
425,loco,zwariowany
426,sangre,krew
427,mujeres,kobiety
428,vuelta,okrążenie
429,fui,byłem
430,trabajar,pracować
431,tenido,Barwiony
432,juego,bawić się
433,deberías,powinieneś
434,cuerpo,Ciało
435,e,oraz
436,algunas,niektóre
437,entrar,wchodzić
438,cree,Uważać
439,podía,mógłby
440,debemos,musi
441,oportunidad,szansa
442,teléfono,telefon
443,necesitamos,potrzebować
444,final,finał
445,listo,sprytny
446,fiesta,przyjęcie
447,muchos,Wiele
448,estabas,Ty byłeś
449,quieren,Chcą
450,vete,Idź stąd
451,auto,automatyczny
452,dar,dawać
453,vivir,żyć
454,posible,możliwy
455,ok,w porządku
456,hermana,siostra
457,número,numer
458,meses,miesiące
459,exactamente,dokładnie
460,culpa,wada
461,abajo,na dół
462,escuela,szkoła
463,ido,odszedł
464,fuerte,silny
465,diciendo,powiedzenie
466,habla,przemówienie
467,esté,Wschód
468,ello,to
469,pregunta,Pytanie
470,chicas,dziewczyny
471,eran,byli
472,unas,gwóźdź
473,pasando,pójście
474,atrás,za
475,malo,zły
476,capitán,kapitan
477,sra.,Pani
478,bebé,Dziecko
479,segundo,druga
480,sabemos,wiemy
481,mayor,Starsi
482,comida,jedzenie
483,morir,Umrzeć
484,conozco,wiedzieć
485,dame,daj mi
486,fácil,łatwo
487,comer,jeść
488,vino,przyszło
489,lista,gotowy
490,haga,robić
491,necesitas,potrzebujesz
492,hijos,synowie
493,probablemente,prawdopodobnie
494,padres,Ojcowie
495,habitación,Pokój
496,creer,uważać
497,pensando,myślący
498,fueron,byli
499,dime,powiedz mi
500,trata,o
501,buscando,badawczy
502,tuve,miałem
503,tampoco,zarówno
504,amo,kocham
505,joven,młody człowiek
506,podrías,mógłbyś
507,sola,sam
508,par,para
509,única,tylko
510,hacen,robić
511,seguir,kontynuować
512,dr.,Dr.
513,simplemente,po prostu
514,dicen,Mówią
515,medio,średni
516,puta,suka
517,saben,Oni wiedzą
518,sentido,sens
519,hagas,ty robisz
520,segura,bezpieczny
521,esperar,oczekiwać
522,lejos,daleko
523,arma,broń
524,alto,wysoki
525,pequeña,mały
526,dólares,Dolary
527,seis,sześć
528,estaban,Byli
529,seguridad,bezpieczeństwo
530,maldita,cholerny
531,estuvo,on był
532,preocupes,martwić się
533,palabra,słowo
534,esperando,mieć nadzieję na
535,queda,pozostaje
536,oficina,gabinet
537,matar,zabić
538,iré,pójdę
539,cama,łóżko
540,además,co więcej
541,último,najnowszy
542,oído,ucho
543,habría,byłoby
544,estará,będzie
545,dio,dało
546,recuerdo,pamięć
547,siendo,istnienie
548,acerca,o
549,tenga,mieć
550,luz,światło
551,correcto,Prawidłowy
552,ud.,Ty.
553,demonios,Demony
554,nuestras,nasz
555,verte,by zobaczyć Ciebie
556,dormir,spać
557,sitio,miejsce
558,ayudar,Wsparcie
559,conseguir,Dostawać
560,di,dał
561,marido,mąż
562,paz,pokój
563,idiota,kretyn
564,plan,plan
565,dado,dany
566,cuanto,ile
567,peor,gorzej
568,murió,Umarł
569,pueblo,wieś
570,vivo,relacja na żywo
571,venido,przychodzę
572,john,Jan
573,basta,Wystarczająco
574,paso,krok
575,deberíamos,powinniśmy
576,música,muzyka
577,diga,Mówić
578,minuto,minuta
579,anoche,Ostatnia noc
580,llamar,zadzwonić
581,piensa,myśleć
582,país,kraj
583,digas,mówisz
584,rey,król
585,perdón,przepraszam
586,mucha,dużo
587,falta,brak
588,pienso,Myślę
589,perdido,Stracony
590,niña,mała dziewczynka
591,señorita,Tęsknić
592,diez,dziesięć
593,lleva,przewozi
594,hospital,szpital
595,grandes,wielki
596,maldito,cholernie
597,otras,inni
598,llamado,nazywa
599,hacemos,robimy
600,llevar,nosić 
601,fuego,ogień
602,aqui,tutaj
603,tuvo,On miał
604,poner,położyć
605,calle,ulica
606,acaba,tylko
607,prueba,Test
608,increíble,niesamowite
609,real,prawdziwy
610,libro,książka
611,orden,zamówienie
612,semanas,tygodnie
613,especial,specjalny
614,mía,moje
615,café,Kawa
616,duro,Trwał
617,empezar,początek
618,afuera,poza
619,queremos,chcemy
620,perro,pies
621,cielo,kochanie
622,jack,Jacek
623,puesto,Stragan
624,viaje,wycieczka
625,detrás,za
626,cuarto,czwarty
627,querida,Drogi
628,haría,zrobiłby
629,preguntas,pytania
630,piensas,Myślisz
631,querido,Drogi
632,libre,darmowy
633,buscar,Szukaj
634,cual,który
635,diré,powiem
636,suena,Dźwięki
637,jugar,bawić się
638,cambio,zmiana
639,película,film
640,millones,miliony
641,habrá,tam będzie
642,llamada,połączenie
643,resto,reszta
644,vemos,widzimy
645,extraño,dziwny
646,mala,zły
647,presidente,Prezydent
648,srta.,SM.
649,irme,Iść
650,ropa,odzież
651,perder,stracić
652,vuelve,Wróć
653,agente,agent
654,palabras,słowa
655,información,Informacja
656,raro,rzadki
657,hará,zrobi
658,entiendes,Rozumiesz
659,éste,Wschód
660,trabajando,pracujący
661,tratando,próbować
662,general,ogólny
663,trato,sprawa
664,usar,posługiwać się
665,perfecto,idealny
666,derecho,prawo
667,modo,tryb
668,ayer,Wczoraj
669,conoces,wiesz
670,demás,reszta
671,quieras,Chcesz
672,podríamos,moglibyśmy
673,noticias,Aktualności
674,asesino,morderca
675,encontrado,znaleziony
676,control,kontrola
677,odio,nienawiść
678,frente,przód
679,sexo,seks
680,decirle,Powiedz mu
681,estaré,będę
682,divertido,zabawny
683,armas,bronie
684,recuerdas,Zapamiętaj
685,amiga,przyjaciel
686,grupo,grupa
687,asunto,romans
688,acabo,skończone
689,mensaje,wiadomość
690,encima,koniec
691,atención,Uwaga
692,diferente,różne
693,uh,Uh
694,cállate,zamknąć
695,daño,szkoda
696,sucede,dzieje się
697,cambiar,zmiana
698,siguiente,Następny
699,sino,Inaczej
700,the,.
701,seas,Jesteś
702,médico,medyczny
703,boca,usta
704,dejó,wynajmować
705,error,błąd
706,jamás,Nigdy
707,largo,długość
708,pena,żałość
709,voz,głos
710,futuro,przyszły
711,siente,Czuć
712,secreto,sekret
713,baño,kąpiel
714,mil,tysiąc
715,decirte,Powiedz ci
716,sam,Sam
717,pensaba,myśl
718,novia,dziewczyna
719,propia,własny
720,sueño,spać
721,haz,robić
722,fuerza,siła
723,deben,Oni muszą
724,supone,Przypuszczuje
725,estábamos,Byliśmy
726,ambos,oboje
727,ay,Oh
728,estuve,był
729,encontré,znalazłem
730,vuelto,obrócony
731,dolor,ból
732,dile,Powiedz mu
733,encanta,kocha
734,edad,wiek
735,darle,daj mu
736,pie,stopa
737,negro,czarny
738,ganar,osiągać
739,york,York
740,aire,powietrze
741,lamento,lament
742,verlo,zobaczyć go
743,asesinato,morderstwo
744,vio,on widział
745,adónde,gdzie
746,llegado,przybył
747,disculpe,wybaczcie mi
748,s,s
749,cita,data
750,estaría,Byłoby
751,fuiste,ty byłeś
752,sistema,system
753,gusto,smak
754,pobre,słaby
755,negocio,biznes
756,mente,umysł
757,tuyo,Twój
758,campo,wieś
759,mire,Patrzeć
760,situación,sytuacja
761,tras,po
762,hotel,hotel
763,vosotros,ty
764,funciona,Pracuje
765,foto,Zdjęcie
766,abogado,adwokat
767,loca,zwariowany
768,propio,własne ja
769,alrededor,na około
770,próxima,następny
771,terminado,skończone
772,hablas,mówić
773,pagar,płacić
774,mató,zabity
775,llamo,nazywa
776,personal,personel
777,sientes,czujesz
778,ocurre,występuje
779,ésta,jest
780,recuerda,Zapamiętaj
781,mitad,połowa
782,quiera,chcieć
783,pelo,włosy
784,tenías,Miałeś
785,viste,sukienki
786,oficial,urzędnik
787,llegó,przybywam
788,compañía,firma
789,relación,relacja
790,conoce,znany
791,pase,dzieje się
792,montón,działka
793,mejores,Top
794,creí,wierzyłem
795,cena,Obiad
796,sentir,czuć
797,través,poprzez
798,accidente,wypadek
799,i,Siema
800,ellas,one
801,caja,Kasa
802,tranquilo,spokojna
803,bonito,ładny
804,eras,wieczność
805,asi,Więc
806,pudo,mógłby
807,vive,to żyje
808,vista,pogląd
809,estúpido,idiota
810,línea,linia
811,caballeros,Panowie
812,haremos,będzie
813,dan,dawać
814,quédate,zostawać
815,tienda,sklep
816,comprar,kupić
817,entendido,jest to zrozumiałe
818,centro,środek
819,salvo,oprócz
820,mes,miesiąc
821,joe,Joe
822,sol,słońce
823,tonto,głupiec
824,hambre,głód
825,michael,Michał
826,mesa,stół
827,respuesta,odpowiedź
828,completamente,całkowicie
829,david,David
831,totalmente,całkowicie
832,imposible,niemożliwy
833,pruebas,Testy
834,novio,chłopak
835,normal,normalna
836,gustan,tak jak
837,frank,Szczery
838,pude,mógłbym
839,charlie,Charlie
840,traje,kostium
841,dirección,adres zamieszkania
842,siete,siedem
843,dijeron,Oni powiedzieli
844,placer,przyjemność
845,sean,Sean
846,tendrá,będzie miał
847,barco,łódź
848,blanco,biały
849,tom,Tomek
850,profesor,profesor
851,servicio,usługa
852,muchacho,młody gość
853,reunión,spotkanie
854,dejado,lewy
855,ley,prawo
856,quisiera,chciałbym
857,hubo,tam było
858,george,Jerzy
859,programa,Program
860,carrera,Wyścig
861,cumpleaños,urodziny
862,muchachos,chłopcy
863,culo,tyłek
864,canción,utwór muzyczny
865,hermosa,Piękny
866,universidad,Szkoła Wyższa
867,boda,ślub
868,decirme,Powiedz mi
869,cualquiera,każdy
870,tengas,Posiadać
871,hacía,w stronę
872,estés,być
873,sala,salon
874,llevo,nosić 
875,decisión,decyzja
876,espere,Czekać
877,don,Przywdziewać
878,necesario,niezbędny
879,sal,Sól
880,entra,wchodzi
881,prisa,wysypka
882,carajo,pierdolić
883,embargo,embargo
884,interesante,ciekawe
885,tendrás,będziesz miał
886,escuchar,słuchać
887,abuela,babcia
888,hicieron,zrobili
889,detective,detektyw
890,horrible,okropny
891,suelo,ja zwykle
892,fotos,Zdjęcia
893,cárcel,więzienie
894,acá,tutaj
895,io,Io
896,mike,Mikrofon
897,siéntate,Usiądź
898,decía,Powiedział
899,intentando,próbować
900,vámonos,Chodźmy
901,maldición,cholerny
902,silencio,cisza
903,muerta,nie żyje
904,capaz,zdolny
905,salió,wyszedł
906,club,Klub
907,terminar,skończyć
908,temo,Boję się
909,broma,żart
910,gobierno,rząd
911,prometo,obiecuję
912,cámara,aparat fotograficzny
913,media,połowa
914,terrible,straszny
915,llamó,Dzwonię
916,regalo,prezent
917,amable,delikatny
918,dulce,Słodkie
919,muertos,nie żyje
920,querías,Chciałeś
921,ataque,atak
922,das,dajesz
923,navidad,Boże Narodzenie
924,negocios,biznes
925,pudiera,mógłby
926,ocho,osiem
927,avión,samolot
928,investigación,Badania
929,acabó,tylko
930,juro,przysięgam
931,mantener,utrzymać
932,ejército,armia
933,papel,papier
934,partes,Imprezy
935,ten,Dziesięć
936,gracioso,zabawny
937,diría,powiedziałbym
938,principio,początek
939,delante,z przodu
940,teniente,porucznik
941,deseo,pragnienie
942,vayas,iść
943,nave,statek
944,sale,wychodzi na jaw
945,basura,śmieci
946,vine,przyszło
947,contacto,Kontakt
948,esposo,mąż
949,tren,pociąg
950,encontramos,znaleźliśmy
951,dale,Zacząć robić
952,verdadero,prawdziwy
953,tuya,Twój
954,alma,dusza
955,hazlo,Zrób to
956,disculpa,Przepraszam
957,anda,spcerować
958,tendré,będę miał
959,matrimonio,małżeństwo
960,saberlo,wiedzieć
961,locura,szaleństwo
962,oro,Modliłem się
963,permiso,pozwolenie
964,director,dyrektor
965,peligro,zagrożenie
966,libertad,wolność
967,alegro,zadowolony
968,baja,niski
969,tendremos,będziemy mieli
970,derecha,prawo
971,encuentra,odnaleźć
972,pies,stopy
973,segunda,druga
974,maravilloso,wspaniale
975,espacio,przestrzeń
976,rato,chwileczka
977,abuelo,Dziadek
978,esperaba,oczekiwałem
979,mirando,patrzeć na
980,salud,Zdrowie
981,sorpresa,niespodzianka
982,ninguno,Żaden
983,miren,Patrzeć
984,triste,smutny
985,aun,nadal
986,pensado,wymyślony
987,maestro,nauczyciel
988,según,według
989,infierno,piekło
990,podrían,mógłby
991,tipos,typy
992,tía,ciotka
993,crimen,przestępczość
994,conocido,znany
995,consejo,Wskazówka
996,ante,ze względu na
997,iglesia,kościół
998,intento,próbować
999,mayoría,bardzo
1000,doy,dawać
1001,peter,Piotr
1002,hicimos,zrobiliśmy
1003,escena,scena
1004,piso,mieszkanie
1005,señal,podpisać
1006,honor,zaszczyt
1007,llamas,połączenia
1008,abre,otwiera się
1009,cerebro,mózg
1010,veras,zobaczysz
1011,viendo,widzenie
1012,pone,miejsca
1013,pregunto,pytam
1014,cocina,kuchnia
1015,vestido,sukienka
1016,inteligente,inteligentny
1017,vieja,staruszka
1018,caballo,koń
1019,vienen,przyszli
1020,vidas,zyje
1021,bar,bar
1022,corte,Sąd
1023,sucedió,stało się
1024,adentro,wewnątrz
1025,drogas,Leki
1026,enseguida,od razu
1027,busca,Szukaj
1028,agradable,ładny
1029,carne,mięso
1030,parecía,wyglądał jak
1031,departamento,dział
1032,lindo,ładny
1033,mar,morze
1034,duda,wątpić
1035,edificio,budynek
1036,conocer,wiedzieć
1037,cargo,pozycja
1038,víctima,ofiara
1039,luna,Księżyc
1040,energía,Energia
1041,frío,przeziębienie
1042,hablo,rozmawiałem
1043,baile,taniec
1044,trabaja,Pracuje
1045,misión,misja
1046,listos,Gotowy
1047,ayudarte,pomóc Ci
1048,izquierda,lewy
1049,paul,Paweł
1050,beber,pić
1051,deje,Odejdź
1052,finalmente,Wreszcie
1053,simple,prosty
1054,daré,ja dam
1055,sabías,Wiedziałaś
1056,puedas,Możesz
1057,puso,położyć
1058,creía,wierzyłem
1059,regresar,wracać
1060,llega,przybywa
1061,entender,rozumieć
1062,mirar,patrzeć na
1063,sacar,Brać
1064,cambiado,zmienione
1065,trae,Przynieść
1066,hermoso,przystojny
1067,opinión,opinia
1068,verás,zobaczysz
1069,linda,ładny
1070,apenas,ledwie
1071,segundos,sekundy
1072,cerveza,piwo
1073,harás,zrobisz
1074,estuviera,byłem
1075,creen,Uważają
1076,oír,słyszeć
1077,tendría,miałby
1078,cuántos,wiele
1079,hablado,Mówiony
1080,hablamos,Mówimy
1081,reina,królowa
1082,temprano,wczesny
1083,tema,motyw
1084,prisión,więzienie
1085,porqué,dlatego
1086,vuelva,Zwrócić
1087,público,publiczny
1088,ocurrió,Tak się stało
1089,veré,zobaczę
1090,salvar,ratować
1091,partido,mecz
1092,bonita,ładny
1093,joder,pierdolić
1094,causa,przyczyna
1095,caliente,gorący
1096,sargento,sierżant
1097,cenar,tania restauracja
1098,compañero,współpracownik
1099,llevó,nosić 
1100,banco,Bank
1101,existe,istnieje
1102,ben,Ben
1103,zona,strefa
1104,destino,przeznaczenie
1105,base,baza
1106,solía,przyzwyczajony
1107,cliente,klient
1108,irse,Odejdź
1109,perra,suka
1110,james,James
1111,encuentro,spotkanie
1112,encontró,znalazł
1113,pelea,Walka
1114,san,święty
1115,norte,północ
1116,quise,Chciałem
1117,coronel,pułkownik
1118,apuesto,przystojny
1119,peligroso,niebezpieczny
1120,viva,relacja na żywo
1121,max,Max
1122,vienes,Przyjeżdżacie
1123,necesitan,Oni potrzebują
1124,té,herbata
1125,excepto,oprócz
1126,juicio,osąd
1127,podamos,możemy
1128,llave,klucz
1129,equivocado,zło
1130,posición,pozycja
1131,trasero,tył
1132,irnos,Iść
1133,espalda,plecy
1134,excelente,Doskonały
1135,éxito,powodzenie
1136,modos,Tryby
1137,ventana,okno
1138,veamos,Zobaczmy
1139,especie,gatunek
1140,teníamos,mieliśmy
1141,diferencia,różnica
1142,formas,kształty
1143,pedir,zapytać się
1144,últimos,ostatni
1145,escúchame,Posłuchaj mnie
1146,ejemplo,przykład
1147,ése,że
1148,radio,radio
1149,lee,czytać
1150,calma,Uspokoić się
1151,hogar,Dom
1152,volveré,wrócę
1153,fondo,tło
1154,humano,człowiek
1155,henry,Henz
1156,tí,ty
1157,iremos,pójdziemy
1158,unidos,Zjednoczony
1159,habían,Byli
1160,jesús,Jezus
1161,planeta,planeta
1162,verme,Zobacz mnie
1163,respecto,szacunek
1164,regreso,Zwrócić
1165,debido,należny
1166,seré,będę
1167,tenían,Oni mieli
1168,leer,czytać
1169,parar,Zatrzymaj się
1170,lleno,pełny
1171,dejé,Odejdź
1172,respeto,Poszanowanie
1173,debajo,pod 
1174,harry,Złupić
1175,escribir,pisać
1176,estación,stacja
1177,pidió,spytał
1178,alta,wysoki
1179,pista,Wskazówka
1180,estrella,gwiazda
1181,enfermo,chory
1182,duele,boli
1183,sueños,sny
1184,veremos,zobaczymy
1185,miles,Tysiące
1186,darme,daj mi
1187,órdenes,Zamówienia
1188,ocupado,zajęty
1189,sigues,Czy wciąż jesteś
1190,corre,Biegi
1191,podido,Mam
1192,dejes,Wyjechać
1193,nivel,poziom
1194,habéis,Ty masz
1195,experiencia,doświadczenie
1196,darte,dać Ci
1197,salida,Wyjście
1198,decirlo,Powiedz to
1199,confiar,zaufanie
1200,hacerte,Zrobić cię
1201,necesitaba,potrzebne
1202,hermanos,bracia
1203,zapatos,buty
1204,color,kolor
1205,vistazo,zerknąć
1206,nena,pisklę
1207,tratar,leczyć
1208,parecer,wyglądać
1209,juez,sędzia
1210,próximo,następny
1211,paciente,pacjent
1212,hayas,być
1213,bolsa,torba
1214,arte,sztuka
1215,mary,Mary
1216,jugando,Gra
1217,llevas,Nosisz
1218,alegra,Alegra
1219,bailar,taniec
1220,diablo,Diabeł
1221,oí,słyszałem
1222,estarás,Będziesz
1223,sur,południe
1224,banda,pasmo
1225,aprender,uczyć się
1226,precio,Cena £
1227,completo,kompletny
1228,santo,święty
1229,culpable,winny
1230,ganas,pragnienie
1231,tuvimos,Mieliśmy
1232,you,Ty
1233,verla,Zobacz to
1234,volvió,zawrócił
1235,libros,książki
1236,ojo,oko
1237,serán,będzie
1238,cielos,Niebiosa
1239,matado,zabity
1240,azul,niebieski
1241,diferentes,różne
1242,irte,iść
1243,ia,IA
1244,comandante,dowódca
1245,acción,akcja
1246,reglas,zasady
1247,obra,budowa
1248,esperanza,nadzieja
1249,cuestión,pytanie
1250,molesta,smutny
1251,teniendo,mający
1252,bill,Rachunek
1253,informe,raport
1254,jimmy,Jimmy
1255,río,rzeka
1256,bienvenido,Powitanie
1257,abrir,otwarty
1258,tocar,bawić się
1259,bob,Pion
1260,contar,liczyć
1261,sigo,podążam
1262,interior,w środku
1263,apartamento,apartament
1264,vea,Widzieć
1265,estados,państwo
1266,estáis,Jesteś
1267,preocupa,zmartwienia
1268,tomó,biorę
1269,principal,poważny
1270,empieza,zaczynać
1271,londres,Londyn
1272,empezó,zaczęło się
1273,vayan,iść
1274,jim,Jim
1275,llaman,Oni dzwonią
1276,ojalá,Chciałbym
1277,perdona,przepraszam
1278,vuelvo,wrócę
1279,golpe,cios
1280,quedarme,zostawać
1281,llamaré,zadzwonię
1282,acabado,koniec
1283,estilo,styl
1284,nueve,dziewięć
1285,definitivamente,Zdecydowanie
1286,quedar,zostawać
1287,cartas,karty
1288,bomba,bomba
1289,guardia,strażnik
1290,pistola,pistolet
1291,probar,próbować
1292,majestad,majestat
1293,traer,przynieść
1294,marcha,Marsz
1295,pareces,Wydajesz się
1296,común,wspólny
1297,aquel,że
1298,hacerle,robić
1299,vuelo,lot
1300,nota,Notatka
1301,danny,Danny
1302,humanos,Ludzie
1303,estaremos,będziemy
1304,valor,wartość
1305,suyo,Twój
1306,objetivo,cel
1307,repente,Nagle
1308,debía,powinien
1309,rojo,czerwony
1310,bromeando,żartowanie
1311,irá,zamierzać
1312,entrada,wejście
1313,doble,podwójnie
